q_delay,q_depth,sending_rate,data_sent,interarrival_time,CCA
0.000474,0,0.25100926642540977,0.011999999999999567,0.047807,cubic
0.285782,23,173.18849840255604,0.3252480000000002,0.001878,cubic
0.338577,28,11.602200592467248,0.10966400000000043,0.009452,cubic
0.399116,33,11.922591867797298,0.10966399999999954,0.009198,cubic
0.435055,36,9.22209064484879,0.0856640000000004,0.009289,cubic
0.479895,39,98.11612903225806,0.121664,0.00124,cubic
0.515932,42,60.59428571428541,0.08483199999999957,0.0014,cubic
0.495122,41,1.6514443789397306,0.036416000000000004,0.022051,cubic
0.508613,42,2.950431661654886,0.06083200000000044,0.020618,cubic
0.536726,44,5.03932517524056,0.08483199999999957,0.016834,cubic
0.557155,46,7.493471298349402,0.06083200000000044,0.008118,cubic
0.569515,47,1.892672535321576,0.060416000000000025,0.031921,cubic
0.576902,47,225.1764705882352,0.06124799999999997,0.024982,cubic
0.582066,48,2.847619542079839,0.054847999999999786,0.019261,cubic
0.546101,45,1.6799391326401123,0.013247999999999927,0.048021,cubic
0.497986,41,1.645972293483775,0.01283199999999951,0.060081,cubic
0.449851,37,0.6409910584944503,0.012832000000000399,0.06015,cubic
0.398142,33,1.1423484376391346,0.012832000000000399,0.06372,cubic
0.3619,30,0.34897970656023336,0.012415999999999983,0.048245,cubic
0.322121,26,4.63378803777542,0.013247999999999927,0.05182,cubic
0.286003,23,0.8218706559872895,0.012415999999999983,0.048301,cubic
0.237983,19,0.8605727315404406,0.01283199999999951,0.060081,cubic
0.197944,16,1.9203831188267584,0.012832000000000399,0.051951,cubic
0.16618,13,0.46889988292609175,0.012415999999999983,0.043795,cubic
0.122179,10,0.5821085102522006,0.01283199999999951,0.056125,cubic
0.070077,5,0.1871345029239837,0.012000000000000455,0.064125,cubic
0.037441,3,0.26876301820868476,0.011999999999999567,0.044649,cubic
